timestamp,rpm,pitch_deg,blades,thrust_N,power_W,efficiency,disk_loading_N_m2,power_loading_N_W,tip_speed_m_s,tip_mach,cl,cd,source_file,t_s
2025-12-09 14:53:41.233929,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.065322
2025-12-09 14:53:41.349329,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.180722
2025-12-09 14:53:41.457482,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.288875
2025-12-09 14:53:41.577020,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.408413
2025-12-09 14:53:41.681797,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.51319
2025-12-09 14:53:41.788941,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.620334
2025-12-09 14:53:41.885307,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.7167
2025-12-09 14:53:41.997108,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.828501
2025-12-09 14:53:42.106990,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,7.938383
2025-12-09 14:53:42.203940,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.035333
2025-12-09 14:53:42.300477,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.13187
2025-12-09 14:53:42.428302,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.259695
2025-12-09 14:53:42.541929,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.373322
2025-12-09 14:53:42.654539,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.485932
2025-12-09 14:53:42.764193,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.595586
2025-12-09 14:53:42.860113,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.691506
2025-12-09 14:53:42.973390,2000.0,15.0,3,550.983450576624,281.62388345361137,19.192788565629623,701.5339177687898,1.956451433805262,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.804783
2025-12-09 14:53:43.098090,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,8.929483
2025-12-09 14:53:43.194875,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.026268
2025-12-09 14:53:43.306234,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.137627
2025-12-09 14:53:43.434712,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.266105
2025-12-09 14:53:43.530743,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.362136
2025-12-09 14:53:43.642766,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.474159
2025-12-09 14:53:43.759778,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.591171
2025-12-09 14:53:43.865374,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.696767
2025-12-09 14:53:43.962245,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.793638
2025-12-09 14:53:44.073275,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,9.904668
2025-12-09 14:53:44.184480,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.015873
2025-12-09 14:53:44.280188,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.111581
2025-12-09 14:53:44.425370,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.256763
2025-12-09 14:53:44.518907,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.3503
2025-12-09 14:53:44.633433,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.464826
2025-12-09 14:53:44.725876,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.557269
2025-12-09 14:53:44.849484,2000.0,15.0,4,734.6446007688319,375.49851127148185,19.19278856562962,935.3785570250528,1.9564514338052617,104.71975511965977,0.3053054085121276,1.5707963267948966,0.0100096189432334,simulation_20251209_145334.csv,10.680877
