timestamp,rpm,pitch_deg,blades,thrust_N,power_W,efficiency,disk_loading_N_m2,power_loading_N_W,tip_speed_m_s,cl,cd
2025-12-08T22:44:41.870582,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:41.966781,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.078720,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.176394,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.302395,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.409443,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.524402,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.619352,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.739461,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.842009,5000,8,1,632.7984225661121,1257.4548061792193,4.936759949437736,805.7039754572057,0.5032375075879445,261.79938779914943,0.8659402920896005,0.008581074560925217
2025-12-08T22:44:42.976743,5000,7,1,555.3956700314279,1237.5973545512904,4.402426607467757,707.151730058696,0.448769277009965,261.79938779914943,0.7600200499584331,0.008445564105860053
2025-12-08T22:44:43.090804,5000,7,1,555.3956700314279,1237.5973545512904,4.402426607467757,707.151730058696,0.448769277009965,261.79938779914943,0.7600200499584331,0.008445564105860053
2025-12-08T22:44:43.206355,5000,6,1,477.3162534249552,1220.3383669890904,3.8370279692604887,607.7379292054835,0.39113434956783777,261.79938779914943,0.653173840468505,0.008327785988992916
2025-12-08T22:44:43.351476,5000,5,1,398.6553004886164,1205.69887091042,3.2436030190857568,507.5836933003854,0.3306425095908009,261.79938779914943,0.5455318392676836,0.00822788370481688
2025-12-08T22:44:43.461924,5000,4,1,319.50864747677383,1193.696702286211,2.625775731594193,406.81104485227513,0.2676631734550656,261.79938779914943,0.4372251915534522,0.008145978968876446
2025-12-08T22:44:43.573062,5000,3,1,239.97272239451502,1184.3464839101384,1.9877058265229848,305.54275981044987,0.20262036967614522,261.79938779914943,0.32838585229269074,0.0080821715694759
2025-12-08T22:44:43.685627,5000,3,1,239.97272239451502,1184.3464839101384,1.9877058265229848,305.54275981044987,0.20262036967614522,261.79938779914943,0.32838585229269074,0.0080821715694759
2025-12-08T22:44:43.809457,5000,2,1,160.14442751498265,1177.659607583003,1.3340160635604144,203.90221798104977,0.13598532758006263,261.79938779914943,0.2191464254548733,0.008036539246102637
2025-12-08T22:44:43.933370,5000,1,1,80.12102131888125,1173.644220233575,0.6696980273815862,102.01325270776863,0.06826687333145628,261.79938779914943,0.10964000245455825,0.008009137594713564
2025-12-08T22:44:44.046822,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.157665,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.266834,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.381371,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.528412,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.636517,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
2025-12-08T22:44:44.756208,5000,0,1,0.0,1172.305213992817,0.0,0.0,0.0,261.79938779914943,0.0,0.008
